true_dataset_label,true_name,pred_dataset_label,pred_name,count,percent_of_errors,percent_of_true_class,confusion_group
6,clean,3,semantic,98,25.39,25.65,clean_to_ambiguous
6,clean,2,syntactic,83,21.5,21.73,clean_to_ambiguous
6,clean,4,syntax,35,9.07,9.16,clean_to_ambiguous
6,clean,5,pragmatic,29,7.51,7.59,clean_to_ambiguous
1,lexical,3,semantic,14,3.63,29.79,other
5,pragmatic,3,semantic,12,3.11,14.63,other
4,syntax,5,pragmatic,10,2.59,20.83,other
2,syntactic,3,semantic,9,2.33,15.0,other
2,syntactic,6,clean,9,2.33,15.0,ambiguous_to_clean
1,lexical,2,syntactic,8,2.07,17.02,lexical_syntactic
4,syntax,3,semantic,8,2.07,16.67,semantic_syntax
6,clean,1,lexical,8,2.07,2.09,clean_to_ambiguous
5,pragmatic,1,lexical,7,1.81,8.54,other
5,pragmatic,2,syntactic,7,1.81,8.54,other
5,pragmatic,6,clean,7,1.81,8.54,ambiguous_to_clean
2,syntactic,1,lexical,5,1.3,8.33,lexical_syntactic
1,lexical,5,pragmatic,4,1.04,8.51,other
1,lexical,6,clean,4,1.04,8.51,ambiguous_to_clean
2,syntactic,5,pragmatic,4,1.04,6.67,other
3,semantic,1,lexical,4,1.04,6.67,other
3,semantic,2,syntactic,4,1.04,6.67,other
3,semantic,6,clean,4,1.04,6.67,ambiguous_to_clean
3,semantic,5,pragmatic,3,0.78,5.0,other
1,lexical,4,syntax,2,0.52,4.26,other
2,syntactic,4,syntax,2,0.52,3.33,syntactic_syntax
4,syntax,1,lexical,2,0.52,4.17,other
5,pragmatic,4,syntax,2,0.52,2.44,other
3,semantic,4,syntax,1,0.26,1.67,semantic_syntax
4,syntax,2,syntactic,1,0.26,2.08,syntactic_syntax
